Table name: cs3k_project_info Last updated: Apr 05, 2023 8:37 PM;;;;;;;;;;;;;;;;;;;;;;;;;
AvgSpotLen;BioSample;DATASTORE_provider;DATASTORE_region;Experiment;InsertSize;LibraryLayout;Library_Name;MBases;MBytes;Run;SRA_Sample;Sample_Name;Assay_Type;BioProject;Center_Name;Consent;DATASTORE_filetype;Instrument;LibrarySelection;LibrarySource;LoadDate;Organism;Platform;ReleaseDate;SRA_Study
;RSP10478;;;;0;PAIRED;RSP10478;;;RSP10478;RSP10478;Ninja Fruit;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10026;;;;0;PAIRED;RSP10026;;;RSP10026;RSP10026;Northern Lights;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10070;;;;0;PAIRED;RSP10070;;;RSP10070;RSP10070;OG Kush;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10500;;;;0;PAIRED;RSP10500;;;RSP10500;RSP10500;OG Kush CBD_21NOV2016;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10471;;;;0;PAIRED;RSP10471;;;RSP10471;RSP10471;Gorilla Glue #4;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10591;;;;0;PAIRED;RSP10591;;;RSP10591;RSP10591;Outer Space;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10200;;;;0;PAIRED;RSP10200;;;RSP10200;RSP10200;Purple Buddha;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10123;;;;0;PAIRED;RSP10123;;;RSP10123;RSP10123;Pineberry;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10108;;;;0;PAIRED;RSP10108;;;RSP10108;RSP10108;Recon;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10755;;;;0;PAIRED;RSP10755;;;RSP10755;RSP10755;Recon;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10089;;;;0;PAIRED;RSP10089;;;RSP10089;RSP10089;Sage N Sour;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10056;;;;0;PAIRED;RSP10056;;;RSP10056;RSP10056;Santhica27;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10665;;;;0;PAIRED;RSP10665;;;RSP10665;RSP10665;Santhica 27;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11046;;;;0;PAIRED;RSP11046;;;RSP11046;RSP11046;Santhica27;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11047;;;;0;PAIRED;RSP11047;;;RSP11047;RSP11047;Santhica27;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10407;;;;0;PAIRED;RSP10407;;;RSP10407;RSP10407;Sensi Star;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10121;;;;0;PAIRED;RSP10121;;;RSP10121;RSP10121;Serious Happiness;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10763;;;;0;PAIRED;RSP10763;;;RSP10763;RSP10763;Serious Happiness;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10219;;;;0;PAIRED;RSP10219;;;RSP10219;RSP10219;Super Silver White Widow;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10477;;;;0;PAIRED;RSP10477;;;RSP10477;RSP10477;Skywalker OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10837;;;;0;PAIRED;RSP10837;;;RSP10837;RSP10837;Skywalker OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10142;;;;0;PAIRED;RSP10142;;;RSP10142;RSP10142;Snowcap;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10194;;;;0;PAIRED;RSP10194;;;RSP10194;RSP10194;Snowcap;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10182;;;;0;PAIRED;RSP10182;;;RSP10182;RSP10182;Sour Diesel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10551;;;;0;PAIRED;RSP10551;;;RSP10551;RSP10551;Sour Raspberry;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10384;;;;0;PAIRED;RSP10384;;;RSP10384;RSP10384;Sour Tsunami;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10595;;;;0;PAIRED;RSP10595;;;RSP10595;RSP10595;Sour Tsunami;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10607;;;;0;PAIRED;RSP10607;;;RSP10607;RSP10607;Sour Tsunami;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10128;;;;0;PAIRED;RSP10128;;;RSP10128;RSP10128;Space Queen;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10679;;;;0;PAIRED;RSP10679;;;RSP10679;RSP10679;Strawberry Cough;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10681;;;;0;PAIRED;RSP10681;;;RSP10681;RSP10681;Strawberry Cough;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10962;;;;0;PAIRED;RSP10962;;;RSP10962;RSP10962;Sugar Black Rose;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11071;;;;0;PAIRED;RSP11071;;;RSP11071;RSP11071;Sunday Driver;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11011;;;;0;PAIRED;RSP11011;;;RSP11011;RSP11011;Super Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10433;;;;0;PAIRED;RSP10433;;;RSP10433;RSP10433;Superbud Autoflower;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10586;;;;0;PAIRED;RSP10586;;;RSP10586;RSP10586;Super Jack;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10139;;;;0;PAIRED;RSP10139;;;RSP10139;RSP10139;Super Lemon Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10475;;;;0;PAIRED;RSP10475;;;RSP10475;RSP10475;Sweet Tart;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10944;;;;0;PAIRED;RSP10944;;;RSP10944;RSP10944;Tangerine Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10995;;;;0;PAIRED;RSP10995;;;RSP10995;RSP10995;Tangerine Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10244;;;;0;PAIRED;RSP10244;;;RSP10244;RSP10244;Tangerine;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10191;;;;0;PAIRED;RSP10191;;;RSP10191;RSP10191;Tangie;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10349;;;;0;PAIRED;RSP10349;;;RSP10349;RSP10349;Tangie;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10283;;;;0;PAIRED;RSP10283;;;RSP10283;RSP10283;Tangilope;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10267;;;;0;PAIRED;RSP10267;;;RSP10267;RSP10267;White 99;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10068;;;;0;PAIRED;RSP10068;;;RSP10068;RSP10068;Trainwreck;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11062;;;;0;PAIRED;RSP11062;;;RSP11062;RSP11062;trainwreck;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10157;;;;0;PAIRED;RSP10157;;;RSP10157;RSP10157;Triangle OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10074;;;;0;PAIRED;RSP10074;;;RSP10074;RSP10074;TRIDENT;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10430;;;;0;PAIRED;RSP10430;;;RSP10430;RSP10430;Wappa;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10143;;;;0;PAIRED;RSP10143;;;RSP10143;RSP10143;White Fire;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10431;;;;0;PAIRED;RSP10431;;;RSP10431;RSP10431;White Lemon;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10175;;;;0;PAIRED;RSP10175;;;RSP10175;RSP10175;White Russian;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10561;;;;0;PAIRED;RSP10561;;;RSP10561;RSP10561;White Widow;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10447;;;;0;PAIRED;RSP10447;;;RSP10447;RSP10447;Wife;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10165;;;;0;PAIRED;RSP10165;;;RSP10165;RSP10165;Witches Weed;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10474;;;;0;PAIRED;RSP10474;;;RSP10474;RSP10474;XJ 13;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10076;;;;0;PAIRED;RSP10076;;;RSP10076;RSP10076;HARLEQUIN CBD;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10140;;;;0;PAIRED;RSP10140;;;RSP10140;RSP10140;Harlequin;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10587;;;;0;PAIRED;RSP10587;;;RSP10587;RSP10587;Jack Herrer;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10028;;;;0;PAIRED;RSP10028;;;RSP10028;RSP10028;NYC Diesel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10599;;;;0;PAIRED;RSP10599;;;RSP10599;RSP10599;New York Sour Diesel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11060;;;;0;PAIRED;RSP11060;;;RSP11060;RSP11060;P. Chunk;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10429;;;;0;PAIRED;RSP10429;;;RSP10429;RSP10429;Pineapple Express;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10588;;;;0;PAIRED;RSP10588;;;RSP10588;RSP10588;Strawberry Lemonade;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10137;;;;0;PAIRED;RSP10137;;;RSP10137;RSP10137;Sugar Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10393;;;;0;PAIRED;RSP10393;;;RSP10393;RSP10393;Tahoe OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10385;;;;0;PAIRED;RSP10385;;;RSP10385;RSP10385;Black 84;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10386;;;;0;PAIRED;RSP10386;;;RSP10386;RSP10386;Blue Essence;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11073;;;;0;PAIRED;RSP11073;;;RSP11073;RSP11073;Pie Hoe;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10126;;;;0;PAIRED;RSP10126;;;RSP10126;RSP10126;Otto;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10701;;;;0;PAIRED;RSP10701;;;RSP10701;RSP10701;Orangutan;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10963;;;;0;PAIRED;RSP10963;;;RSP10963;RSP10963;Purple Cactus #4;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10176;;;;0;PAIRED;RSP10176;;;RSP10176;RSP10176;Purple Candy Cane;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10180;;;;0;PAIRED;RSP10180;;;RSP10180;RSP10180;Lemonhead OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10260;;;;0;PAIRED;RSP10260;;;RSP10260;RSP10260;Lemonhead OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10988;;;;0;PAIRED;RSP10988;;;RSP10988;RSP10988;The Gift;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10426;;;;0;PAIRED;RSP10426;;;RSP10426;RSP10426;BGKC #4-1;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10427;;;;0;PAIRED;RSP10427;;;RSP10427;RSP10427;BGKC-45;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10079;;;;0;PAIRED;RSP10079;;;RSP10079;RSP10079;BHUTAN;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10002;;;;0;PAIRED;RSP10002;;;RSP10002;RSP10002;Bialobreski;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10421;;;;0;PAIRED;RSP10421;;;RSP10421;RSP10421;Brain Wreck;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10096;;;;0;PAIRED;RSP10096;;;RSP10096;RSP10096;Breakthrough;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10181;;;;0;PAIRED;RSP10181;;;RSP10181;RSP10181;Butter OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10134;;;;0;PAIRED;RSP10134;;;RSP10134;RSP10134;Charlie Murphy;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10445;;;;0;PAIRED;RSP10445;;;RSP10445;RSP10445;Cherry;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10196;;;;0;PAIRED;RSP10196;;;RSP10196;RSP10196;Cherry Durban Poison;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11056;;;;0;PAIRED;RSP11056;;;RSP11056;RSP11056;Choc;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10151;;;;0;PAIRED;RSP10151;;;RSP10151;RSP10151;Citrisoul;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10292;;;;0;PAIRED;RSP10292;;;RSP10292;RSP10292;Citrus Sap;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10543;;;;0;PAIRED;RSP10543;;;RSP10543;RSP10543;Clementine #1;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10242;;;;0;PAIRED;RSP10242;;;RSP10242;RSP10242;Crystal Chunk;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10058;;;;0;PAIRED;RSP10058;;;RSP10058;RSP10058;Dacia;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10238;;;;0;PAIRED;RSP10238;;;RSP10238;RSP10238;Dacia;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11070;;;;0;PAIRED;RSP11070;;;RSP11070;RSP11070;Danny Noonan;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10960;;;;0;PAIRED;RSP10960;;;RSP10960;RSP10960;Dark Knight #3;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10053;;;;0;PAIRED;RSP10053;;;RSP10053;RSP10053;Diana;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10235;;;;0;PAIRED;RSP10235;;;RSP10235;RSP10235;Diana;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10582;;;;0;PAIRED;RSP10582;;;RSP10582;RSP10582;Dirks OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10197;;;;0;PAIRED;RSP10197;;;RSP10197;RSP10197;Dutch Treat Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10080;;;;0;PAIRED;RSP10080;;;RSP10080;RSP10080;F-CANCER;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10063;;;;0;PAIRED;RSP10063;;;RSP10063;RSP10063;Ferimon;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10298;;;;0;PAIRED;RSP10298;;;RSP10298;RSP10298;Fire Angel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10611;;;;0;PAIRED;RSP10611;;;RSP10611;RSP10611;Fire Angel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10592;;;;0;PAIRED;RSP10592;;;RSP10592;RSP10592;Glue on Fire #1;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11041;;;;0;PAIRED;RSP11041;;;RSP11041;RSP11041;Gold Cracker;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11048;;;;0;PAIRED;RSP11048;;;RSP11048;RSP11048;Gold Cracker;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP21041;;;;0;PAIRED;RSP21041;;;RSP21041;RSP21041;Gold Cracker;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10083;;;;0;PAIRED;RSP10083;;;RSP10083;RSP10083;GUERILLA MEDS;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10560;;;;0;PAIRED;RSP10560;;;RSP10560;RSP10560;Harlow;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10010;;;;0;PAIRED;RSP10010;;;RSP10010;RSP10010;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10237;;;;0;PAIRED;RSP10237;;;RSP10237;RSP10237;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10655;;;;0;PAIRED;RSP10655;;;RSP10655;RSP10655;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10858;;;;0;PAIRED;RSP10858;;;RSP10858;RSP10858;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10859;;;;0;PAIRED;RSP10859;;;RSP10859;RSP10859;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10860;;;;0;PAIRED;RSP10860;;;RSP10860;RSP10860;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10861;;;;0;PAIRED;RSP10861;;;RSP10861;RSP10861;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10862;;;;0;PAIRED;RSP10862;;;RSP10862;RSP10862;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10863;;;;0;PAIRED;RSP10863;;;RSP10863;RSP10863;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10976;;;;0;PAIRED;RSP10976;;;RSP10976;RSP10976;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10977;;;;0;PAIRED;RSP10977;;;RSP10977;RSP10977;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10978;;;;0;PAIRED;RSP10978;;;RSP10978;RSP10978;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10979;;;;0;PAIRED;RSP10979;;;RSP10979;RSP10979;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10980;;;;0;PAIRED;RSP10980;;;RSP10980;RSP10980;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10982;;;;0;PAIRED;RSP10982;;;RSP10982;RSP10982;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11037;;;;0;PAIRED;RSP11037;;;RSP11037;RSP11037;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11039;;;;0;PAIRED;RSP11039;;;RSP11039;RSP11039;Carmagnola;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11128;;;;0;PAIRED;RSP11128;;;RSP11128;RSP11128;Kush Hemp E1;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10990;;;;0;PAIRED;RSP10990;;;RSP10990;RSP10990;Italian Kiss;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11034;;;;0;PAIRED;RSP11034;;;RSP11034;RSP11034;Italian Kiss;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10065;;;;0;PAIRED;RSP10065;;;RSP10065;RSP10065;Ivory;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10668;;;;0;PAIRED;RSP10668;;;RSP10668;RSP10668;Ivory;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10147;;;;0;PAIRED;RSP10147;;;RSP10147;RSP10147;Jesus;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10046;;;;0;PAIRED;RSP10046;;;RSP10046;RSP10046;Jiangji;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10236;;;;0;PAIRED;RSP10236;;;RSP10236;RSP10236;Jiangji;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10653;;;;0;PAIRED;RSP10653;;;RSP10653;RSP10653;Jiangji;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11075;;;;0;PAIRED;RSP11075;;;RSP11075;RSP11075;JL yellow;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11076;;;;0;PAIRED;RSP11076;;;RSP11076;RSP11076;JL#2;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10547;;;;0;PAIRED;RSP10547;;;RSP10547;RSP10547;Juneau's Gift;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10392;;;;0;PAIRED;RSP10392;;;RSP10392;RSP10392;Kush-It;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10412;;;;0;PAIRED;RSP10412;;;RSP10412;RSP10412;Kush-It;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10247;;;;0;PAIRED;RSP10247;;;RSP10247;RSP10247;L'Eagle Eagle;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10268;;;;0;PAIRED;RSP10268;;;RSP10268;RSP10268;Lavender Diesel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10434;;;;0;PAIRED;RSP10434;;;RSP10434;RSP10434;Lil Sebastian;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10168;;;;0;PAIRED;RSP10168;;;RSP10168;RSP10168;Loopy Fruit;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10071;;;;0;PAIRED;RSP10071;;;RSP10071;RSP10071;LOVE 'N HOPE;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10059;;;;0;PAIRED;RSP10059;;;RSP10059;RSP10059;Lovrin;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10239;;;;0;PAIRED;RSP10239;;;RSP10239;RSP10239;Lovrin;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10658;;;;0;PAIRED;RSP10658;;;RSP10658;RSP10658;Lovrin;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10178;;;;0;PAIRED;RSP10178;;;RSP10178;RSP10178;Mang Thai Doo;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10479;;;;0;PAIRED;RSP10479;;;RSP10479;RSP10479;Master Banana Pheno 8;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10480;;;;0;PAIRED;RSP10480;;;RSP10480;RSP10480;Master Banana Pheno 7;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10959;;;;0;PAIRED;RSP10959;;;RSP10959;RSP10959;McGrupp #6;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11059;;;;0;PAIRED;RSP11059;;;RSP11059;RSP11059;Medi;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10051;;;;0;PAIRED;RSP10051;;;RSP10051;RSP10051;Mengma;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10947;;;;0;PAIRED;RSP10947;;;RSP10947;RSP10947;Miss X;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10061;;;;0;PAIRED;RSP10061;;;RSP10061;RSP10061;Monoica;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10241;;;;0;PAIRED;RSP10241;;;RSP10241;RSP10241;Monoica;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10964;;;;0;PAIRED;RSP10964;;;RSP10964;RSP10964;Mount Jones #5;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10961;;;;0;PAIRED;RSP10961;;;RSP10961;RSP10961;Orange Zeta;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10848;;;;0;PAIRED;RSP10848;;;RSP10848;RSP10848;Plum Crazy;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10585;;;;0;PAIRED;RSP10585;;;RSP10585;RSP10585;Primus OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10596;;;;0;PAIRED;RSP10596;;;RSP10596;RSP10596;Primus OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10105;;;;0;PAIRED;RSP10105;;;RSP10105;RSP10105;Queen Jesus;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10589;;;;0;PAIRED;RSP10589;;;RSP10589;RSP10589;Red Eye OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10085;;;;0;PAIRED;RSP10085;;;RSP10085;RSP10085;Ringo's Angel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10210;;;;0;PAIRED;RSP10210;;;RSP10210;RSP10210;Saint Jack;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10104;;;;0;PAIRED;RSP10104;;;RSP10104;RSP10104;SIERRA GOLD;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11030;;;;0;PAIRED;RSP11030;;;RSP11030;RSP11030;Skunk#18;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11038;;;;0;PAIRED;RSP11038;;;RSP11038;RSP11038;Skunk#18;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10584;;;;0;PAIRED;RSP10584;;;RSP10584;RSP10584;Snoop Master;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10117;;;;0;PAIRED;RSP10117;;;RSP10117;RSP10117;Snoops Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11003;;;;0;PAIRED;RSP11003;;;RSP11003;RSP11003;Snoops Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11031;;;;0;PAIRED;RSP11031;;;RSP11031;RSP11031;Snoops Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10544;;;;0;PAIRED;RSP10544;;;RSP10544;RSP10544;Snow Temple;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
