Table name: cs3k_project_info Last updated: Apr 05, 2023 8:37 PM;;;;;;;;;;;;;;;;;;;;;;;;;
AvgSpotLen;BioSample;DATASTORE_provider;DATASTORE_region;Experiment;InsertSize;LibraryLayout;Library_Name;MBases;MBytes;Run;SRA_Sample;Sample_Name;Assay_Type;BioProject;Center_Name;Consent;DATASTORE_filetype;Instrument;LibrarySelection;LibrarySource;LoadDate;Organism;Platform;ReleaseDate;SRA_Study
;RSP11005;;;;0;PAIRED;RSP11005;;;RSP11005;RSP11005;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11006;;;;0;PAIRED;RSP11006;;;RSP11006;RSP11006;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11007;;;;0;PAIRED;RSP11007;;;RSP11007;RSP11007;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11008;;;;0;PAIRED;RSP11008;;;RSP11008;RSP11008;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11009;;;;0;PAIRED;RSP11009;;;RSP11009;RSP11009;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11010;;;;0;PAIRED;RSP11010;;;RSP11010;RSP11010;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11012;;;;0;PAIRED;RSP11012;;;RSP11012;RSP11012;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11017;;;;0;PAIRED;RSP11017;;;RSP11017;RSP11017;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11032;;;;0;PAIRED;RSP11032;;;RSP11032;RSP11032;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11033;;;;0;PAIRED;RSP11033;;;RSP11033;RSP11033;Blue Dream;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11055;;;;0;PAIRED;RSP11055;;;RSP11055;RSP11055;Blue Dream_23MAR2018;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10201;;;;0;PAIRED;RSP10201;;;RSP10201;RSP10201;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10202;;;;0;PAIRED;RSP10202;;;RSP10202;RSP10202;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10204;;;;0;PAIRED;RSP10204;;;RSP10204;RSP10204;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10205;;;;0;PAIRED;RSP10205;;;RSP10205;RSP10205;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10481;;;;0;PAIRED;RSP10481;;;RSP10481;RSP10481;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10563;;;;0;PAIRED;RSP10563;;;RSP10563;RSP10563;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10564;;;;0;PAIRED;RSP10564;;;RSP10564;RSP10564;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10573;;;;0;PAIRED;RSP10573;;;RSP10573;RSP10573;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10670;;;;0;PAIRED;RSP10670;;;RSP10670;RSP10670;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10671;;;;0;PAIRED;RSP10671;;;RSP10671;RSP10671;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10672;;;;0;PAIRED;RSP10672;;;RSP10672;RSP10672;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10680;;;;0;PAIRED;RSP10680;;;RSP10680;RSP10680;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10682;;;;0;PAIRED;RSP10682;;;RSP10682;RSP10682;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10684;;;;0;PAIRED;RSP10684;;;RSP10684;RSP10684;Blueberry Cheesecake;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10469;;;;0;PAIRED;RSP10469;;;RSP10469;RSP10469;Blueberry Girl Scout Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10149;;;;0;PAIRED;RSP10149;;;RSP10149;RSP10149;Old School Blueberry;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10597;;;;0;PAIRED;RSP10597;;;RSP10597;RSP10597;Blueberry;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10601;;;;0;PAIRED;RSP10601;;;RSP10601;RSP10601;Boss Hog;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10164;;;;0;PAIRED;RSP10164;;;RSP10164;RSP10164;Bubba Kush;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10088;;;;0;PAIRED;RSP10088;;;RSP10088;RSP10088;Bubblegummer;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10265;;;;0;PAIRED;RSP10265;;;RSP10265;RSP10265;Buddha's Sister;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10382;;;;0;PAIRED;RSP10382;;;RSP10382;RSP10382;C4;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10971;;;;0;PAIRED;RSP10971;;;RSP10971;RSP10971;C4;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10428;;;;0;PAIRED;RSP10428;;;RSP10428;RSP10428;Candyland;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10158;;;;0;PAIRED;RSP10158;;;RSP10158;RSP10158;Cannatsu;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10391;;;;0;PAIRED;RSP10391;;;RSP10391;RSP10391;Canna-tsu;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10082;;;;0;PAIRED;RSP10082;;;RSP10082;RSP10082;CANNATONIC;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10606;;;;0;PAIRED;RSP10606;;;RSP10606;RSP10606;Casey Jones;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10090;;;;0;PAIRED;RSP10090;;;RSP10090;RSP10090;CBD Mango Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10013;;;;0;PAIRED;RSP10013;;;RSP10013;RSP10013;Cheddar Head;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10459;;;;0;PAIRED;RSP10459;;;RSP10459;RSP10459;Cheese;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10460;;;;0;PAIRED;RSP10460;;;RSP10460;RSP10460;Cheese;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10545;;;;0;PAIRED;RSP10545;;;RSP10545;RSP10545;Chem 91;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10192;;;;0;PAIRED;RSP10192;;;RSP10192;RSP10192;Chem Dawg;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10387;;;;0;PAIRED;RSP10387;;;RSP10387;RSP10387;ChemDog;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10245;;;;0;PAIRED;RSP10245;;;RSP10245;RSP10245;Chem #4;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10131;;;;0;PAIRED;RSP10131;;;RSP10131;RSP10131;Chemmy Jones;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10524;;;;0;PAIRED;RSP10524;;;RSP10524;RSP10524;Chemodo Dragon;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10177;;;;0;PAIRED;RSP10177;;;RSP10177;RSP10177;Chernobyl;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10609;;;;0;PAIRED;RSP10609;;;RSP10609;RSP10609;Cherry Diesel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10170;;;;0;PAIRED;RSP10170;;;RSP10170;RSP10170;Cherry Limeade;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10183;;;;0;PAIRED;RSP10183;;;RSP10183;RSP10183;Chiesel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10016;;;;0;PAIRED;RSP10016;;;RSP10016;RSP10016;Chocolope;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10388;;;;0;PAIRED;RSP10388;;;RSP10388;RSP10388;Cinex;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10432;;;;0;PAIRED;RSP10432;;;RSP10432;RSP10432;Congo;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10135;;;;0;PAIRED;RSP10135;;;RSP10135;RSP10135;Corleone Kush;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10012;;;;0;PAIRED;RSP10012;;;RSP10012;RSP10012;CRITICAL MASS CBD;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10167;;;;0;PAIRED;RSP10167;;;RSP10167;RSP10167;Critical Mass;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10542;;;;0;PAIRED;RSP10542;;;RSP10542;RSP10542;Crocketts Haze #22;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10130;;;;0;PAIRED;RSP10130;;;RSP10130;RSP10130;Death Star;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10624;;;;0;PAIRED;RSP10624;;;RSP10624;RSP10624;Divided Sky;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10366;;;;0;PAIRED;RSP10366;;;RSP10366;RSP10366;Doubl Tangie Banana;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10371;;;;0;PAIRED;RSP10371;;;RSP10371;RSP10371;Doubl Tangie Banana;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10066;;;;0;PAIRED;RSP10066;;;RSP10066;RSP10066;Dr. Who;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10094;;;;0;PAIRED;RSP10094;;;RSP10094;RSP10094;Dream Beaver;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10133;;;;0;PAIRED;RSP10133;;;RSP10133;RSP10133;Durban;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10150;;;;0;PAIRED;RSP10150;;;RSP10150;RSP10150;Durban Poison;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10948;;;;0;PAIRED;RSP10948;;;RSP10948;RSP10948;Durban Poison;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10998;;;;0;PAIRED;RSP10998;;;RSP10998;RSP10998;Durban Poison;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11014;;;;0;PAIRED;RSP11014;;;RSP11014;RSP11014;Durban Poison;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10943;;;;0;PAIRED;RSP10943;;;RSP10943;RSP10943;Durban Poison #1;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10996;;;;0;PAIRED;RSP10996;;;RSP10996;RSP10996;Durban Poison #1;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11013;;;;0;PAIRED;RSP11013;;;RSP11013;RSP11013;Durban Poison #1;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10243;;;;0;PAIRED;RSP10243;;;RSP10243;RSP10243;East Coast Sour Diesel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10136;;;;0;PAIRED;RSP10136;;;RSP10136;RSP10136;El Diablo;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10146;;;;0;PAIRED;RSP10146;;;RSP10146;RSP10146;Face Off OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10062;;;;0;PAIRED;RSP10062;;;RSP10062;RSP10062;Fedora17;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10661;;;;0;PAIRED;RSP10661;;;RSP10661;RSP10661;Fedora 17;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
